dict,csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_0.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_0_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_5.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_5_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_10.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_10_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_15.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_15_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_20.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_20_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_25.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_25_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_30.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_30_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_35.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_35_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_40.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_40_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_45.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_45_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_50.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_50_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_55.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_55_98494941304801395478184421979593253002.csv
None,C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/random_60.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",C:/Users/walkz/OneDrive/Bureau/StageIrisa/data/FiveClass/Run1/systematic_60_98494941304801395478184421979593253002.csv
