dict,csv
None,random_0.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_0_98494941304801395478184421979593253002.csv
None,random_5.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_5_98494941304801395478184421979593253002.csv
None,random_10.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_10_98494941304801395478184421979593253002.csv
None,random_15.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_15_98494941304801395478184421979593253002.csv
None,random_20.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_20_98494941304801395478184421979593253002.csv
None,random_25.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_25_98494941304801395478184421979593253002.csv
None,random_30.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_30_98494941304801395478184421979593253002.csv
None,random_35.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_35_98494941304801395478184421979593253002.csv
None,random_40.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_40_98494941304801395478184421979593253002.csv
None,random_45.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_45_98494941304801395478184421979593253002.csv
None,random_50.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_50_98494941304801395478184421979593253002.csv
None,random_55.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_55_98494941304801395478184421979593253002.csv
None,random_60.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_60_98494941304801395478184421979593253002.csv
None,random_65.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_65_98494941304801395478184421979593253002.csv
None,random_70.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_70_98494941304801395478184421979593253002.csv
None,random_75.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_75_98494941304801395478184421979593253002.csv
None,random_80.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_80_98494941304801395478184421979593253002.csv
None,random_85.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_85_98494941304801395478184421979593253002.csv
None,random_90.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_90_98494941304801395478184421979593253002.csv
None,random_95.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_95_98494941304801395478184421979593253002.csv
None,random_100.csv
"{'Corn': 'Corn_Ensilage', 'Corn_Ensilage': 'Sorghum', 'Sorghum': 'Sunflower', 'Sunflower': 'Soy', 'Soy': 'Corn'}",systematic_100_98494941304801395478184421979593253002.csv
